propuesta_id,titulo_web,zona_web,importe_web,pagina_web,url_web
8102,Seguridad peatonal,Zona Centro,15.000 €,9,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8102
7735,Arreglar las escaleras del parque de los Almendros,Zona Parquesol,30.000 €,9,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7735
8213,"Renovar bancos en plaza del Cosmos, plaza San Bartolomé, plaza de la Armonía",Zona Pisuerga 1,39.000 €,9,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8213
8112,Renovación del césped del campo de fútbol principal complejo Don Bosco,Zona Este 2,374.762 €,9,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8112
8337,Instalación de pasarela peatonal sobre el Canal de Castilla,Zona Pisuerga 1,321.850 €,9,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8337
8137,arreglar los bancos de la Plaza Paseo la Habana,Zona Parquesol,5.000 €,9,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8137
7945,Estación Biki zona deportiva Santa María de la Cabeza,Zona Este 2,39.100 €,9,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7945
7774,Arreglar baches de las aceras,Zona Parquesol,150.000 €,9,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7774
7712,Parques Infantiles-Parque de los Almendros/ Centro Cívico Parquesol,Zona Parquesol,85.000 €,9,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7712
8044,Creación de espacios exteriores cubiertos,Zona Sur 2,90.000 €,9,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8044
7864,Renovación del tramo de carril bici en Tirso de Molina,Zona Esgueva 1,200.000 €,10,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7864
8491,Accesibilidad en los pasos de cebra para personas con discapacidad,Zona Centro,20.000 €,10,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8491
8569,Cubrir patio del CIC El Empecinado,Zona Pisuerga 2,271.023 €,10,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8569
8490,Parque deportivo en calle Pinguino,Zona Este 2,40.000 €,10,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8490
8246,Remodelación y sustitución del césped artificial F11 y F7.,Zona Sur 1,620.496 €,10,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8246
7779,Propuesta del Centro de Vida Activa- Parquesol,Zona Parquesol,18.208 €,10,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7779
7556,"Mejora de aceras en Calle Red, Calle de la Enseñanza y las Arenas",Zona Pisuerga 2,820.000 €,10,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7556
8178,Creación Aceras Avenida Madrid desde Edificio Madrid hasta San Agustín,Zona Este 1,850.000 €,10,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8178
8193,PINAR DE JALÓN. BARRERA NATURAL,Zona Este 1,770.000 €,10,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8193
8332,"Acondicionamiento integral del entorno deportivo (Pumptrack, calistenia y parkou",Zona Esgueva 2,75.114 €,10,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8332
8317,Crear vestuarios en el Campo de Futbol El Palero,Zona Sur 1,136.289 €,11,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8317
8553,Parque deportivo para jóvenes,Zona Este 2,50.000 €,11,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8553
8036,Recuperación y mantenimiento de las escaleras de Martín Santos Romero,Zona Parquesol,50.000 €,11,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8036
8088,Carril bici en Paseo de Zorrilla y Avenida Salamanca por Avda. Medina del Campo,Zona Sur 1,700.000 €,11,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8088
7611,Acera en Martín Santos Romero y Miriam Blasco,Zona Parquesol,150.000 €,11,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7611
7821,Subida a la Fuente El Sol: una calle que necesita una reforma urgente,Zona Pisuerga 1,900.000 €,11,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7821
8124,Parque alto de parquesol,Zona Parquesol,70.000 €,11,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8124
8086,CREAR UN CICLOBARRIO EN LA FAROLA - PLAZA DE TOROS,Zona Sur 1,39.094 €,11,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8086
8141,Parque de las Norias.,Zona Este 1,215.000 €,11,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8141
8398,CARRIL BICI PINAR DE JALÓN-CENTRO + INSONORIZAR VA-30,Zona Este 1,600.000 €,11,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8398
8120,Mejora del alumbrado y parada de autobús en la Plaza Doctor Quemada,Zona Sur 1,60.600 €,12,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8120
8446,Escultura y mural sobre el biólogo Jose Antonio Valverde,Zona Este 2,86.394 €,12,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8446
8254,Propuesta de intervención/restauración de la Plaza de las Merindades,Zona Sur 2,500.000 €,12,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8254
8362,Rehabilitación de la antigua biblioteca de verano del parque Ribera de Castilla,Zona Esgueva 1,15.726 €,12,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8362
7625,"7625-Ampliar acera calle Pilarica (Agrupada con 7626, 7633)",Zona Esgueva 2,47.000 €,12,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7625
8388,Parque infantil pinar de jalón,Zona Este 1,190.000 €,12,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8388
8323,"Traslado de inicio-fin línea 5,6 de autobuses",Zona Pisuerga 1,100.000 €,12,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8323
8458,Seguridad en el entorno escolar de Calle Cigüeña,Zona Este 2,40.000 €,12,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8458
8359,Cubierta Polivalente en los Santos Pilarica,Zona Esgueva 2,404.129 €,12,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8359
8253,Aumentar la seguridad en pasos en Cañada Real,Zona Sur 2,700.000 €,12,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8253
7919,Mejora Plaza Centro Cívico Delicias,Zona Este 1,18.000 €,13,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7919
7964,Calles abubilla y Avutarda hacia Carretera Villabáñez,Zona Este 2,20.000 €,13,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7964
8302,Instalación de marquesina accesible en la calle Andrómeda (agrupada con 7753),Zona Esgueva 2,50.000 €,13,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8302
7719,Parque intergeneracional en la zona de  Arcas Reales,Zona Este 1,115.000 €,13,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7719
8576,Señalización paso peatones Alonso Pesquera,Zona Centro,30.000 €,13,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8576
7590,PARADA DE BIKI EN PINAR DE ANTEQUERA Y ALUMBRADO SOLAR EN EL CARRIL BICI EXISTEN,Zona Sur 2,39.100 €,13,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7590
