situacion,zona,propuesta_id,titulo_propuesta,enlace,apoyos,categoria,aparece_en_mesa,orden_detectado_en_mesa,aparece_en_final_126,fiabilidad_lectura_mesa
Mesa pero no final,Zona Centro,8539,Ampliación zona peatonal en el entorno del Mercado Municipal el Campillo.,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8539,44,Salud y consumo - Animales | Igualdad | Transportes y movilidad | Medio Ambiente - Limpieza | Seguridad y emergencias | Urbanismo,SI,9,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Centro,8122,Sombra en calles y plazas en verano para movilidad de población vulnerable,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8122,43,Salud y consumo - Animales | Medio Ambiente - Limpieza | Urbanismo,SI,11,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Esgueva 1,7730,7730-PUERTAS DEL CENTRO CIVICO,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7730,40,Urbanismo,SI,11,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Esgueva 1,8469,Parque infantil Avd Palencia (agrupada con 8424),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8469,37,Urbanismo,SI,29,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Esgueva 1,8478,Parque Avenida Palencia .,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8478,37,Urbanismo,SI,28,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Esgueva 1,8565,Renovación acceras Paseo Prado de la Magdalena,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8565,37,,SI,10,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Parquesol,8406,REMODELACIÓN Y MODERNIZACIÓN  DE LOS BAÑOS DEL EST. JOSÉ ZORRILLA (Agrup 7898),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8406,37,,SI,4,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Este 2,7634,"Habilitar terreno abandonado, existente entre las calles Jilguero y Abejaruco.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7634,36,Urbanismo,SI,15,NO,alta
Mesa pero no final,Zona Esgueva 1,8085,Reforma Madre de Dios (agrupada con 7771),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8085,35,Urbanismo,SI,2,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Centro,8272,"Plantación de árboles en la Plaza del Rosarillo, con bancos.",https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8272,34,Urbanismo,SI,14,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Esgueva 1,8210,Pavimentar aceras de la calle Madre de Dios (agrupada con 7771),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8210,33,Urbanismo,SI,17,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Esgueva 1,8524,acondicionar el parque de la avenida Palencia,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8524,31,Urbanismo,SI,26,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Parquesol,8076,REMODELACION Y MODERNIZACION DE LOS BAÑOS DEL ESTADIO JOSE ZORRILLA (Agrup 7898),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8076,28,Deportes | Transportes y movilidad | Medio Ambiente - Limpieza | Seguridad y emergencias,SI,5,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Esgueva 1,8477,arreglar las aceras de la calle Madre de Dios (agrupada con 7771),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8477,26,Urbanismo,SI,24,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Esgueva 1,7738,PUERTAS DEL CENTRO CIVICO (Agrupada con 7730),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7738,25,Urbanismo,SI,12,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Esgueva 1,8304,Pavimento de aceras calle Madre de Dios (agrupada con 7771),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8304,25,Urbanismo,SI,20,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Esgueva 1,8540,parque infantil avenida palencia (agrupada con 8424),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8540,24,Urbanismo,SI,4,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Este 2,8452,Mejora de la Plaza Andarríos,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8452,24,Deportes | Participación ciudadana - Asociaciones | Urbanismo | Turismo | Cultura,SI,6,NO,alta
Mesa pero no final,Zona Parquesol,8077,REMODELACION Y MODERNIZACION DE LOS BAÑOS DEL ESTADIO JOSE ZORRILLA (Agrup 7898),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8077,24,Deportes | Medio Ambiente - Limpieza | Seguridad y emergencias,SI,6,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Esgueva 1,8293,Pavimento de aceras calle Madre de Dios (agrupada con 7771),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8293,23,,SI,19,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Parquesol,7906,REMODELACION Y MODERNIZACION DE LOS BAÑOS DEL ESTADIO JOSÉ ZORRILLA (Agrup 7898),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7906,23,,SI,7,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Parquesol,8083,REMODELACIÓN Y MODERNIZACIÓN BAÑOS ESTADIO JOSE ZORRILLA  (agrupada con 7898),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8083,22,,SI,8,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Esgueva 1,8485,Arreglar la acera de la calle Doctor Ochoa  (agrupada con 8476),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8485,21,Urbanismo,SI,6,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Parquesol,7905,REMODELACION Y MODERNIZACION DE LOS BAÑOS DEL ESTADIO JOSE ZORRILLA (Agrup 7898),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7905,21,seguridad y movilidad | Deportes | Medio Ambiente - Limpieza,SI,9,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Esgueva 1,8289,Arreglo de las aceras en la calle Madre de Dios (agrupada con 7771),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8289,20,Urbanismo,SI,18,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Esgueva 1,8475,Arreglo calle Amor de dios,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8475,20,Urbanismo,SI,23,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Esgueva 1,8481,Parque infantil avenida Palencia (agrupada con 8424),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8481,20,Urbanismo,SI,27,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Esgueva 1,8483,Arreglo acera derecha de la calle Prado de la Magdalena (agrupada con 8423),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8483,20,Urbanismo,SI,33,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Esgueva 1,8519,arreglo de la calle Madre de Dios (agrupada con 7771),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8519,20,Urbanismo,SI,25,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Esgueva 2,7986,7986-Suelo en centro cívico Pilarica,https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/7986,20,Participación ciudadana - Asociaciones,SI,6,NO,alta
Mesa pero no final,Zona Esgueva 1,8472,Arreglo de la calle Madre de Dios (agrupada con 7771),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8472,19,Urbanismo,SI,21,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Esgueva 1,8438,parque infantil avenida Palencia (agrupada con 8424),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8438,18,Urbanismo,SI,30,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Parquesol,8105,Baño José Zorrilla (agrupada con 7898),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8105,18,,SI,1,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Esgueva 1,8473,Arreglo de la calle Madre de Dios (agrupada con 7771),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8473,17,Urbanismo,SI,22,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Esgueva 1,8536,Arreglar la acera de la calle Prado de la Magdalena (agrupada con 8423),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8536,17,Urbanismo,SI,35,NO,"media (OCR acta, conviene revisar)"
Mesa pero no final,Zona Esgueva 1,8435,Arreglo de la acera derecha Prado de la Magdalena (agrupada con 8423),https://www10.ava.es/presupuestosparticipativos/budgets/6/investments/8435,16,Urbanismo,SI,31,NO,"media (OCR acta, conviene revisar)"
